importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
POL,VNM,2022,4.763116,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,1.5609020759206482,2.2648908445528937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,IND,2024,55.444616,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,14.45,2.01,4.015384612598889,4.708613107711454,1.0,1.0,7.969999999999999,1.6599999999999997,14.45,2.01,12.44,7.969999999999999
POL,PHL,2024,21.266669,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,14.45,2.01,3.0571410114004967,3.750840499870849,1.0,1.0,7.969999999999999,1.6599999999999997,14.45,2.01,12.44,7.969999999999999
POL,VNM,2024,6.738415,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,14.45,2.01,1.9078247340642658,2.6064328430384527,1.0,1.0,7.969999999999999,1.6599999999999997,14.45,2.01,12.44,7.969999999999999
NLD,IND,2021,597.416523,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,20.05,7.39,6.392614563584999,7.085762444607772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,PHL,2021,220.208454,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,20.05,7.39,5.394574615922184,6.087726951957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,VNM,2021,20.709013,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,20.05,7.39,3.0305690161356416,3.724298624076302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,IND,2022,831.38987,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,6.723098842476808,7.416246384721601,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,PHL,2022,319.96048,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,5.7681974881670195,6.4613471107274085,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,VNM,2022,34.261164,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,,,3.5340124678004314,4.2273725588612265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.73
NLD,IND,2023,1209.955457,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,24.8,4.72,7.0983388255165,7.791486176842337,1.0,1.0,19.73,1.490000000000001,39.78,8.88,30.9,19.73
NLD,PHL,2023,291.957519,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,24.8,4.72,5.676608308807909,6.3697584222780765,1.0,1.0,19.73,1.490000000000001,39.78,8.88,30.9,19.73
NLD,VNM,2023,31.029055,NLD,39.78,8.88,20.05,7.39,19.73,1.490000000000001,30.9,24.8,4.72,3.4349240235975755,4.128330761800889,1.0,1.0,19.73,1.490000000000001,39.78,8.88,30.9,19.73
DEU,IND,2024,925.946652,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,42.29,10.01,6.8308166217554875,7.523964093902251,1.0,1.0,16.75,1.7200000000000006,42.29,10.01,32.28,16.75
DEU,PHL,2024,332.342898,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,42.29,10.01,5.8061672612206054,6.499316705203574,1.0,1.0,16.75,1.7200000000000006,42.29,10.01,32.28,16.75
DEU,VNM,2024,51.406784,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,42.29,10.01,3.939770148187738,4.633011917069235,1.0,1.0,16.75,1.7200000000000006,42.29,10.01,32.28,16.75
DEU,IND,2023,883.947472,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,26.34,4.48,6.784397640057677,7.477545140571136,1.0,1.0,16.75,1.7200000000000006,42.29,10.01,32.28,16.75
DEU,PHL,2023,253.826761,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,26.34,4.48,5.536651991014101,6.22980305185047,1.0,1.0,16.75,1.7200000000000006,42.29,10.01,32.28,16.75
DEU,VNM,2023,47.164348,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,26.34,4.48,3.8536382681962382,4.546897815847116,1.0,1.0,16.75,1.7200000000000006,42.29,10.01,32.28,16.75
DEU,IND,2022,732.784431,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,,,6.59685156722811,7.289999213360467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.75
DEU,PHL,2022,243.774136,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,,,5.496242124463031,6.189393511921306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.75
DEU,VNM,2022,46.029943,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,,,3.8292921195055505,4.522557272972671,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.75
DEU,IND,2021,598.299095,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,25.54,8.29,6.394090787775754,7.087238666733499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.75
DEU,PHL,2021,243.320098,DEU,42.29,10.01,25.54,8.29,16.75,1.7200000000000006,32.28,25.54,8.29,5.494377852214218,6.187529255387282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.75
